        1.,    0.866110840000000E+08,    0.982237720000000E+08,    0.871257440000000E+08,    0.101972335000000E+08,   -0.434929540000000E+08,   -0.247942560000000E+08
        2.,    0.965384540000000E+08,    0.111618902000000E+09,    0.887476880000000E+08,    0.130989545000000E+08,   -0.521799780000000E+08,   -0.300637230000000E+08
        3.,    0.794000760000000E+08,    0.897717440000000E+08,    0.989354440000000E+08,    0.915168700000000E+07,   -0.410412340000000E+08,   -0.234518820000000E+08
        4.,    0.895738260000000E+08,    0.103070562000000E+09,    0.102769170000000E+09,    0.116904245000000E+08,   -0.510483620000000E+08,   -0.293943605000000E+08
        5.,    0.876540600000000E+08,    0.992483820000000E+08,    0.880275160000000E+08,    0.106674362500000E+08,   -0.428856760000000E+08,   -0.255583800000000E+08
        6.,    0.964203870000000E+08,    0.110871729000000E+09,    0.886969950000000E+08,    0.130396760000000E+08,   -0.513743795000000E+08,   -0.308698365000000E+08
        7.,    0.798134860000000E+08,    0.905222480000000E+08,    0.996501440000000E+08,    0.927230325000000E+07,   -0.408714210000000E+08,   -0.240108460000000E+08
        8.,    0.891490780000000E+08,    0.102387576000000E+09,    0.102174159000000E+09,    0.114871883750000E+08,   -0.503716625000000E+08,   -0.300049172500000E+08
        9.,    0.875707360000000E+08,    0.983275620000000E+08,    0.871741760000000E+08,    0.101073340000000E+08,   -0.418984070000000E+08,   -0.262123060000000E+08
       10.,    0.968151140000000E+08,    0.109948527000000E+09,    0.880115120000000E+08,    0.125619430000000E+08,   -0.503280940000000E+08,   -0.316559077500000E+08
       11.,    0.796394300000000E+08,    0.896041200000000E+08,    0.986700920000000E+08,    0.870529100000000E+07,   -0.400544200000000E+08,   -0.244864985000000E+08
       12.,    0.893215300000000E+08,    0.101754554000000E+09,    0.101330817000000E+09,    0.109171290000000E+08,   -0.495316705000000E+08,   -0.305162185000000E+08
       13.,    0.879931980000000E+08,    0.973088480000000E+08,    0.863239080000000E+08,    0.953816175000000E+07,   -0.408967660000000E+08,   -0.269045655000000E+08
       14.,    0.973336910000000E+08,    0.108867290000000E+09,    0.871393930000000E+08,    0.118227861250000E+08,   -0.490143990000000E+08,   -0.323219690000000E+08
       15.,    0.798915720000000E+08,    0.888179180000000E+08,    0.975192660000000E+08,    0.808299937500000E+07,   -0.390672250000000E+08,   -0.248108430000000E+08
       16.,    0.896081320000000E+08,    0.100793875000000E+09,    0.100145388000000E+09,    0.100944276250000E+08,   -0.483584595000000E+08,   -0.309672115000000E+08
       17.,    0.885893620000000E+08,    0.965660120000000E+08,    0.854943120000000E+08,    0.876108700000000E+07,   -0.396114260000000E+08,   -0.274083810000000E+08
       18.,    0.979015340000000E+08,    0.107604367000000E+09,    0.861281030000000E+08,    0.108648166250000E+08,   -0.473880540000000E+08,   -0.331549307500000E+08
       19.,    0.804085640000000E+08,    0.883623700000000E+08,    0.964340540000000E+08,    0.735446212500000E+07,   -0.380022530000000E+08,   -0.253220630000000E+08
       20.,    0.899029140000000E+08,    0.998409520000000E+08,    0.987805110000000E+08,    0.918084000000000E+07,   -0.467333920000000E+08,   -0.315377427500000E+08
       21.,    0.891332320000000E+08,    0.955527420000000E+08,    0.845732900000000E+08,    0.792166837500000E+07,   -0.380940950000000E+08,   -0.282624360000000E+08
       22.,    0.986038730000000E+08,    0.106310758000000E+09,    0.850393840000000E+08,    0.977654262500000E+07,   -0.455380335000000E+08,   -0.340792120000000E+08
       23.,    0.807601960000000E+08,    0.876727920000000E+08,    0.952039640000000E+08,    0.645111712500000E+07,   -0.365811780000000E+08,   -0.259215640000000E+08
       24.,    0.903326330000000E+08,    0.988245400000000E+08,    0.972862760000000E+08,    0.804886587500000E+07,   -0.449070655000000E+08,   -0.323621890000000E+08
       25.,    0.897898300000000E+08,    0.947303960000000E+08,    0.837335280000000E+08,    0.708491175000000E+07,   -0.365428380000000E+08,   -0.291142280000000E+08
