nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
         1, 6.469380209E-03, 0.000000000E+00, 2.629916125E-02, 1.000123140E+07
         2, 6.467673670E-03, 8.542053605E-05, 2.629916125E-02, 1.000120014E+07
         3, 6.465967037E-03, 1.708410702E-04, 2.629916125E-02, 1.000113096E+07
         4, 6.464260403E-03, 2.562616044E-04, 2.629916125E-02, 1.000103729E+07
         5, 6.459263991E-03, 3.415529629E-04, 2.629916125E-02, 1.000091036E+07
         6, 6.454150431E-03, 4.268373797E-04, 2.629916125E-02, 1.000075750E+07
         7, 6.449036870E-03, 5.121217966E-04, 2.629916125E-02, 1.000059821E+07
         8, 6.440715788E-03, 5.971531983E-04, 2.629916125E-02, 1.000037865E+07
         9, 6.421110247E-03, 7.871665402E-04, 2.629916125E-02, 9.999744248E+06
        10, 6.394581884E-03, 9.763376181E-04, 2.629916125E-02, 9.998965004E+06
        11, 6.362528162E-03, 1.164651191E-03, 2.629916125E-02, 9.998156067E+06
        12, 6.325537454E-03, 1.352057525E-03, 2.629916125E-02, 9.997556750E+06
        13, 6.283613419E-03, 1.538422288E-03, 2.629916125E-02, 9.997657442E+06
        14, 6.234963664E-03, 1.723145481E-03, 2.629916125E-02, 9.998450998E+06
        15, 6.181930799E-03, 1.906658306E-03, 2.629916125E-02, 9.999521689E+06
        16, 6.122531083E-03, 2.088210294E-03, 2.629916125E-02, 1.000041322E+07
        17, 6.058205747E-03, 2.268076073E-03, 2.629916125E-02, 1.000074180E+07
        18, 5.988674372E-03, 2.445994128E-03, 2.629916125E-02, 1.000064348E+07
        19, 5.913999261E-03, 2.621815271E-03, 2.629916125E-02, 1.000064520E+07
        20, 5.834104249E-03, 2.795326748E-03, 2.629916125E-02, 1.000079694E+07
        21, 5.748801124E-03, 2.966244350E-03, 2.629916125E-02, 1.000097835E+07
        22, 5.711205722E-03, 3.037619251E-03, 2.629916125E-02, 1.000106466E+07
        23, 5.673079990E-03, 3.108712285E-03, 2.629916125E-02, 1.000112309E+07
        24, 5.633651285E-03, 3.179091033E-03, 2.629916125E-02, 1.000117058E+07
        25, 5.593839245E-03, 3.249253646E-03, 2.629916125E-02, 1.000120024E+07
        26, 5.552603815E-03, 3.318589281E-03, 2.629916125E-02, 1.000121527E+07
        27, 5.511128304E-03, 3.387781569E-03, 2.629916125E-02, 1.000120835E+07
        28, 5.468113527E-03, 3.456027594E-03, 2.629916125E-02, 1.000117960E+07
        29, 5.427081750E-03, 3.521087404E-03, 2.629916125E-02, 1.000112381E+07
        30, 5.384398343E-03, 3.585075782E-03, 2.629916125E-02, 1.000104159E+07
        31, 5.341714935E-03, 3.649064159E-03, 2.629916125E-02, 1.000093797E+07
        32, 5.297664181E-03, 3.712119030E-03, 2.629916125E-02, 1.000082697E+07
        33, 5.253338750E-03, 3.774981117E-03, 2.629916125E-02, 1.000072754E+07
        34, 5.207958993E-03, 3.837086377E-03, 2.629916125E-02, 1.000066276E+07
        35, 5.162020014E-03, 3.898779131E-03, 2.629916125E-02, 1.000063544E+07
        36, 5.066636638E-03, 4.021881199E-03, 2.629916125E-02, 1.000067706E+07
        37, 4.968335765E-03, 4.142666320E-03, 2.629916125E-02, 1.000070586E+07
        38, 4.867173276E-03, 4.261065045E-03, 2.629916125E-02, 1.000035398E+07
        39, 4.763396078E-03, 4.377178784E-03, 2.629916125E-02, 9.999526521E+06
        40, 4.656764932E-03, 4.490677277E-03, 2.629916125E-02, 9.998677277E+06
        41, 4.546572968E-03, 4.600721987E-03, 2.629916125E-02, 9.997872430E+06
        42, 4.434911672E-03, 4.709275467E-03, 2.629916125E-02, 9.997292611E+06
        43, 4.320103089E-03, 4.814494757E-03, 2.629916125E-02, 9.997340848E+06
        44, 4.202762133E-03, 4.916882285E-03, 2.629916125E-02, 9.997821594E+06
