nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
       350, 7.317678463E-03, 3.170568633E-03, 1.240220738E-03, 9.999996827E+06
       351, 7.230048070E-03, 3.365615744E-03, 1.240220749E-03, 1.000000099E+07
       352, 7.187405574E-03, 3.456085988E-03, 1.240220734E-03, 1.000000334E+07
       353, 7.143307614E-03, 3.545848913E-03, 1.240220702E-03, 1.000000521E+07
       354, 7.098583238E-03, 3.635302385E-03, 1.240220734E-03, 1.000000681E+07
       355, 7.052097412E-03, 3.723853731E-03, 1.240220727E-03, 1.000000798E+07
       356, 7.005314538E-03, 3.812249771E-03, 1.240220748E-03, 1.000000875E+07
       357, 6.956473475E-03, 3.899525113E-03, 1.240220744E-03, 1.000000902E+07
       358, 6.907632410E-03, 3.986800458E-03, 1.240220749E-03, 1.000000879E+07
       359, 6.856698624E-03, 4.072412286E-03, 1.240220770E-03, 1.000000806E+07
       360, 6.805736021E-03, 4.158012501E-03, 1.240220744E-03, 1.000000689E+07
       361, 6.752854340E-03, 4.242436720E-03, 1.240220791E-03, 1.000000527E+07
       362, 6.699618199E-03, 4.326640159E-03, 1.240220742E-03, 1.000000334E+07
       363, 6.644812262E-03, 4.409835916E-03, 1.240220749E-03, 1.000000110E+07
       364, 6.589339420E-03, 4.492586176E-03, 1.240220752E-03, 9.999998713E+06
       365, 6.532639346E-03, 4.574502326E-03, 1.240220749E-03, 9.999996003E+06
       366, 6.407773626E-03, 4.748191360E-03, 1.240220746E-03, 9.999991642E+06
       367, 6.277941860E-03, 4.918207259E-03, 1.240220759E-03, 9.999987839E+06
       368, 6.143765348E-03, 5.084816380E-03, 1.240220758E-03, 9.999985392E+06
       369, 6.005173495E-03, 5.247758016E-03, 1.240220695E-03, 9.999983974E+06
       370, 5.862415642E-03, 5.407059085E-03, 1.240220735E-03, 9.999983291E+06
       371, 5.715343457E-03, 5.562407329E-03, 1.240220844E-03, 9.999983046E+06
       372, 5.563229113E-03, 5.712813320E-03, 1.240220694E-03, 9.999983324E+06
       373, 5.408290910E-03, 5.860286594E-03, 1.240220724E-03, 9.999984144E+06
       374, 5.249590145E-03, 6.003732004E-03, 1.240220768E-03, 9.999985340E+06
       375, 5.086034443E-03, 6.141615278E-03, 1.240220707E-03, 9.999986707E+06
       376, 4.919594971E-03, 6.275974782E-03, 1.240220705E-03, 9.999987998E+06
       377, 4.750210152E-03, 6.406633161E-03, 1.240220778E-03, 9.999989068E+06
       378, 4.575966447E-03, 6.530753063E-03, 1.240220749E-03, 9.999989805E+06
       379, 4.494546628E-03, 6.588451732E-03, 1.240220715E-03, 9.999990108E+06
       380, 4.411092959E-03, 6.643164154E-03, 1.240220754E-03, 9.999990338E+06
