nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
         1, 4.914900059E-03, 9.868704101E-13, 2.848311178E-02, 1.000494833E+07
         2, 4.914182617E-03, 6.519803216E-05, 2.848311238E-02, 1.000489137E+07
         3, 4.912939360E-03, 1.303881562E-04, 2.848311238E-02, 1.000474463E+07
         4, 4.910794334E-03, 1.955548416E-04, 2.848311238E-02, 1.000450431E+07
         5, 4.907605529E-03, 2.606787965E-04, 2.848311238E-02, 1.000419786E+07
         6, 4.903894535E-03, 3.257750830E-04, 2.848311238E-02, 1.000383980E+07
         7, 4.898927311E-03, 3.907875794E-04, 2.848311238E-02, 1.000345022E+07
         8, 4.893182877E-03, 4.557360162E-04, 2.848311237E-02, 1.000312150E+07
         9, 4.877519222E-03, 5.999998769E-04, 2.848311238E-02, 1.000269129E+07
        10, 4.857642270E-03, 7.437438111E-04, 2.848311238E-02, 1.000297749E+07
        11, 4.833572115E-03, 8.868453123E-04, 2.848311238E-02, 1.000398562E+07
        12, 4.805486510E-03, 1.029213184E-03, 2.848311238E-02, 1.000563403E+07
        13, 4.773198938E-03, 1.170687296E-03, 2.848311238E-02, 1.000684584E+07
        14, 4.736704256E-03, 1.311134969E-03, 2.848311238E-02, 1.000418172E+07
        15, 4.695319132E-03, 1.450220133E-03, 2.848311238E-02, 9.998131464E+06
        16, 4.650625024E-03, 1.588277544E-03, 2.848311238E-02, 9.993575493E+06
        17, 4.601984990E-03, 1.724994624E-03, 2.848311238E-02, 9.994335476E+06
        18, 4.548868003E-03, 1.860035359E-03, 2.848311238E-02, 1.000207090E+07
        19, 4.491693849E-03, 1.993408996E-03, 2.848311238E-02, 1.001620601E+07
        20, 4.430759290E-03, 2.125107099E-03, 2.848311238E-02, 1.003878785E+07
        21, 4.366095668E-03, 2.255014863E-03, 2.848311237E-02, 1.006366869E+07
        22, 4.338623040E-03, 2.308118445E-03, 2.848311238E-02, 1.007244904E+07
        23, 4.310229040E-03, 2.360735138E-03, 2.848311238E-02, 1.007841241E+07
        24, 4.280974708E-03, 2.412878400E-03, 2.848311238E-02, 1.008188110E+07
        25, 4.251720376E-03, 2.465021662E-03, 2.848311238E-02, 1.008262231E+07
        26, 4.221173288E-03, 2.516418267E-03, 2.848311238E-02, 1.008116450E+07
        27, 4.190172006E-03, 2.567542197E-03, 2.848311238E-02, 1.007725678E+07
        28, 4.159170725E-03, 2.618666127E-03, 2.848311237E-02, 1.007112219E+07
        29, 4.126649488E-03, 2.668488340E-03, 2.848311238E-02, 1.006294969E+07
        30, 4.094106039E-03, 2.718296046E-03, 2.848311238E-02, 1.005317303E+07
        31, 4.061152799E-03, 2.767833583E-03, 2.848311238E-02, 1.004246493E+07
        32, 4.026979682E-03, 2.816537605E-03, 2.848311238E-02, 1.003177762E+07
        33, 3.992806565E-03, 2.865241628E-03, 2.848311238E-02, 1.002164892E+07
        34, 3.957781052E-03, 2.913336296E-03, 2.848311238E-02, 1.001291368E+07
        35, 3.922038282E-03, 2.960900338E-03, 2.848311237E-02, 1.000612874E+07
        36, 3.845670236E-03, 3.059482480E-03, 2.848311238E-02, 9.996906110E+06
        37, 3.767000888E-03, 3.156238103E-03, 2.848311238E-02, 9.992389443E+06
        38, 3.685869593E-03, 3.250938847E-03, 2.848311238E-02, 9.994030972E+06
        39, 3.601978248E-03, 3.343203469E-03, 2.848311238E-02, 9.999052877E+06
        40, 3.515915910E-03, 3.433446428E-03, 2.848311238E-02, 1.000439102E+07
        41, 3.427700783E-03, 3.521586138E-03, 2.848311238E-02, 1.000687734E+07
        42, 3.337499914E-03, 3.607692585E-03, 2.848311238E-02, 1.000596604E+07
        43, 3.244931682E-03, 3.691248798E-03, 2.848311238E-02, 1.000435647E+07
        44, 3.149836708E-03, 3.771917649E-03, 2.848311238E-02, 1.000310271E+07
        45, 3.053366028E-03, 3.850936161E-03, 2.848311238E-02, 1.000218026E+07
        46, 2.954683343E-03, 3.927174244E-03, 2.848311238E-02, 1.000208954E+07
        47, 2.854116691E-03, 4.000909351E-03, 2.848311238E-02, 1.000261861E+07
        48, 2.751735348E-03, 4.072103297E-03, 2.848311237E-02, 1.000344291E+07
        49, 2.710386853E-03, 4.099523917E-03, 2.848311238E-02, 1.000382420E+07
        50, 2.668701340E-03, 4.126429425E-03, 2.848311238E-02, 1.000422556E+07
        51, 2.627015827E-03, 4.153334934E-03, 2.848311238E-02, 1.000461986E+07
        52, 2.585110857E-03, 4.179897348E-03, 2.848311238E-02, 1.000496552E+07
        53, 2.542557258E-03, 4.205407730E-03, 2.848311238E-02, 1.000524523E+07
        54, 2.500003659E-03, 4.230918112E-03, 2.848311238E-02, 1.000542114E+07
        55, 2.457450030E-03, 4.256428444E-03, 2.848311178E-02, 1.000548015E+07
        56, 4.859175843E-03, 6.177665494E-21, 2.850164640E-02, 1.000366227E+07
        57, 4.858490284E-03, 6.444542944E-05, 2.850193506E-02, 1.000362848E+07
        58, 4.857213452E-03, 1.288827861E-04, 2.850196817E-02, 1.000353035E+07
        59, 4.855095180E-03, 1.932984960E-04, 2.850208344E-02, 1.000334967E+07
        60, 4.851896987E-03, 2.576694316E-04, 2.850197365E-02, 1.000311042E+07
        61, 4.848249099E-03, 3.220156593E-04, 2.850202080E-02, 1.000282685E+07
        62, 4.843392374E-03, 3.862811309E-04, 2.850207376E-02, 1.000251231E+07
        63, 4.837749878E-03, 4.504814555E-04, 2.850200925E-02, 1.000223133E+07
        64, 2.429634725E-03, 4.208250788E-03, 2.850200333E-02, 1.000434495E+07
        65, 4.821313371E-03, 5.928890601E-04, 2.850241914E-02, 1.000182131E+07
        66, 4.801071333E-03, 7.348576578E-04, 2.850279158E-02, 1.000199780E+07
        67, 4.776952257E-03, 8.762495645E-04, 2.850314821E-02, 1.000300973E+07
        68, 4.748912679E-03, 1.016923763E-03, 2.850312817E-02, 1.000480924E+07
        69, 4.716854289E-03, 1.156750624E-03, 2.850315200E-02, 1.000668800E+07
        70, 4.680731572E-03, 1.295585156E-03, 2.850323338E-02, 1.000526971E+07
        71, 4.639945514E-03, 1.433121517E-03, 2.850359267E-02, 9.999457358E+06
        72, 4.595836621E-03, 1.569619627E-03, 2.850374184E-02, 9.993580375E+06
        73, 4.317037902E-03, 2.229637590E-03, 2.850365254E-02, 1.006752339E+07
        74, 4.547875717E-03, 1.704816758E-03, 2.850379748E-02, 9.992798334E+06
        75, 4.495600207E-03, 1.838393704E-03, 2.850380197E-02, 1.000014853E+07
        76, 4.289781096E-03, 2.282011422E-03, 2.850370577E-02, 1.007764386E+07
        77, 4.439510276E-03, 1.970382313E-03, 2.850384746E-02, 1.001509515E+07
        78, 4.379934958E-03, 2.100813583E-03, 2.850381604E-02, 1.003981460E+07
        79, 4.261748658E-03, 2.334063905E-03, 2.850394859E-02, 1.008436314E+07
        80, 4.232807056E-03, 2.385632617E-03, 2.850395171E-02, 1.008832830E+07
        81, 4.203867014E-03, 2.437196407E-03, 2.850395471E-02, 1.008921726E+07
