nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      3479, 6.313663019E-03, 1.597925027E-03, 1.804297161E-02, 9.997580788E+06
      3480, 6.269189584E-03, 1.766962170E-03, 1.804297363E-02, 9.997602707E+06
      3481, 6.219418099E-03, 1.934513937E-03, 1.804296815E-02, 9.997622071E+06
      3482, 6.165089430E-03, 2.100643524E-03, 1.804297504E-02, 9.997634005E+06
      3483, 6.106489709E-03, 2.265316733E-03, 1.804297582E-02, 9.997634683E+06
      3484, 6.043490622E-03, 2.428357184E-03, 1.804297629E-02, 9.997626137E+06
      3485, 5.976138081E-03, 2.589647316E-03, 1.804297637E-02, 9.997614451E+06
      3486, 5.904480286E-03, 2.749070460E-03, 1.804297595E-02, 9.997609816E+06
      3487, 5.869684965E-03, 2.823027862E-03, 1.804296940E-02, 9.997613245E+06
      3488, 5.833576845E-03, 2.896353585E-03, 1.804297450E-02, 9.997621741E+06
      3489, 5.797037910E-03, 2.969465933E-03, 1.804296984E-02, 9.997635454E+06
      3490, 5.759006659E-03, 3.041813592E-03, 1.804297296E-02, 9.997651660E+06
      3491, 5.720750661E-03, 3.114043150E-03, 1.804297052E-02, 9.997667633E+06
      3492, 5.680817630E-03, 3.185359624E-03, 1.804297136E-02, 9.997679482E+06
      3493, 5.640869846E-03, 3.256668494E-03, 1.804297143E-02, 9.997684842E+06
      3494, 5.599354098E-03, 3.326475936E-03, 1.804297136E-02, 9.997682129E+06
      3495, 5.557823181E-03, 3.396273683E-03, 1.804297054E-02, 9.997672316E+06
      3496, 5.514700161E-03, 3.465098746E-03, 1.804297301E-02, 9.997657235E+06
      3497, 5.471338067E-03, 3.533772954E-03, 1.804296999E-02, 9.997640557E+06
      3498, 5.426624339E-03, 3.601574495E-03, 1.804297462E-02, 9.997625141E+06
      3499, 5.381466972E-03, 3.669081049E-03, 1.804296974E-02, 9.997614455E+06
      3500, 5.335180899E-03, 3.735818420E-03, 1.804297621E-02, 9.997609242E+06
      3501, 5.233009037E-03, 3.877667603E-03, 1.804297670E-02, 9.997612849E+06
      3502, 5.127065144E-03, 4.016723216E-03, 1.804297669E-02, 9.997624924E+06
      3503, 5.017425853E-03, 4.152884877E-03, 1.804297628E-02, 9.997635378E+06
      3504, 4.904170098E-03, 4.286054024E-03, 1.804297555E-02, 9.997636252E+06
      3505, 4.787505780E-03, 4.416245340E-03, 1.804296869E-02, 9.997625010E+06
      3506, 4.667347229E-03, 4.543217820E-03, 1.804297097E-02, 9.997605538E+06
      3507, 4.543223926E-03, 4.666319955E-03, 1.804297218E-02, 9.997583445E+06
      3508, 4.416378816E-03, 4.786621676E-03, 1.804298483E-02, 9.997568853E+06
      3509, 4.286756795E-03, 4.903930767E-03, 1.804297944E-02, 9.997565467E+06
      3510, 4.153188831E-03, 5.016722433E-03, 1.804296988E-02, 9.997574884E+06
      3511, 4.016954474E-03, 5.126278708E-03, 1.804298190E-02, 9.997592916E+06
      3512, 3.878403094E-03, 5.232901722E-03, 1.804298978E-02, 9.997616482E+06
      3513, 3.736179585E-03, 5.334571575E-03, 1.804296850E-02, 9.997638232E+06
      3514, 3.669621092E-03, 5.381259401E-03, 1.804298550E-02, 9.997648457E+06
      3515, 3.601683674E-03, 5.425915986E-03, 1.804297809E-02, 9.997656256E+06
      3516, 3.533749739E-03, 5.470570282E-03, 1.804297067E-02, 9.997662556E+06
      3517, 3.465616701E-03, 5.514927660E-03, 1.804297827E-02, 9.997666932E+06
      3518, 3.395987477E-03, 5.556897090E-03, 1.804297404E-02, 9.997669777E+06
      3519, 3.326361638E-03, 5.598864482E-03, 1.804296980E-02, 9.997671459E+06
      3520, 3.256735821E-03, 5.640831916E-03, 1.804296616E-02, 9.997672039E+06
      3521, 6.504653363E-03, 1.511801279E-12, 1.823421341E-02, 9.997609735E+06
      3522, 6.503132874E-03, 8.068007119E-05, 1.823421684E-02, 9.997609271E+06
      3523, 6.501612364E-03, 1.613601405E-04, 1.823422106E-02, 9.997607823E+06
      3524, 6.500091698E-03, 2.420439584E-04, 1.823422526E-02, 9.997605337E+06
      3525, 6.495835356E-03, 3.226299284E-04, 1.823421756E-02, 9.997601397E+06
      3526, 6.491165476E-03, 4.031890959E-04, 1.823422493E-02, 9.997595607E+06
      3527, 6.486495379E-03, 4.837520105E-04, 1.823423230E-02, 9.997588157E+06
      3528, 6.479528923E-03, 5.641493751E-04, 1.823421585E-02, 9.997578204E+06
      3529, 6.462617776E-03, 7.378930983E-04, 1.823423714E-02, 9.997556240E+06
      3530, 6.439708893E-03, 9.109499640E-04, 1.823422846E-02, 9.997531982E+06
      3531, 6.413123068E-03, 1.083472719E-03, 1.823421638E-02, 9.997512626E+06
      3532, 6.382341368E-03, 1.255297509E-03, 1.823422914E-02, 9.997502259E+06
      3533, 6.345682727E-03, 1.425967776E-03, 1.823423131E-02, 9.997504657E+06
      3534, 6.305118805E-03, 1.595748026E-03, 1.823421868E-02, 9.997519183E+06
      3535, 6.260705141E-03, 1.764558900E-03, 1.823422071E-02, 9.997542751E+06
