nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
         1, 6.469380209E-03, 0.000000000E+00, 1.899920172E-02, 9.997303650E+06
         2, 6.467777498E-03, 8.022383093E-05, 1.899920090E-02, 9.997303259E+06
         3, 6.466174689E-03, 1.604476599E-04, 1.899920090E-02, 9.997301586E+06
         4, 6.464571881E-03, 2.406714889E-04, 1.899920090E-02, 9.997298884E+06
         5, 6.460507816E-03, 3.208083407E-04, 1.899920090E-02, 9.997295065E+06
         6, 6.455705349E-03, 4.009043337E-04, 1.899920090E-02, 9.997289405E+06
         7, 6.450902882E-03, 4.810003264E-04, 1.899920090E-02, 9.997281521E+06
         8, 6.444334138E-03, 5.609708412E-04, 1.899920090E-02, 9.997271464E+06
         9, 6.427058178E-03, 7.337247992E-04, 1.899920090E-02, 9.997248197E+06
        10, 6.404464729E-03, 9.058640555E-04, 1.899920090E-02, 9.997223479E+06
        11, 6.378284469E-03, 1.077494422E-03, 1.899920090E-02, 9.997206347E+06
        12, 6.347398669E-03, 1.248340724E-03, 1.899920090E-02, 9.997201100E+06
        13, 6.310896137E-03, 1.418075662E-03, 1.899920090E-02, 9.997215957E+06
        14, 6.270819105E-03, 1.587002332E-03, 1.899920090E-02, 9.997249228E+06
        15, 6.226602451E-03, 1.754893005E-03, 1.899920090E-02, 9.997292380E+06
        16, 6.177280237E-03, 1.921355334E-03, 1.899920090E-02, 9.997329881E+06
        17, 6.123175197E-03, 2.086325132E-03, 1.899920090E-02, 9.997343980E+06
        18, 6.064953329E-03, 2.249887361E-03, 1.899920090E-02, 9.997331903E+06
        19, 6.002367597E-03, 2.411829989E-03, 1.899920090E-02, 9.997308681E+06
        20, 5.935464915E-03, 2.572037417E-03, 1.899920090E-02, 9.997281395E+06
        21, 5.864295010E-03, 2.730395345E-03, 1.899920090E-02, 9.997262409E+06
        22, 5.829859565E-03, 2.803917185E-03, 1.899920090E-02, 9.997259562E+06
        23, 5.793894794E-03, 2.876703146E-03, 1.899920090E-02, 9.997266197E+06
        24, 5.757689497E-03, 2.949369764E-03, 1.899920090E-02, 9.997279698E+06
        25, 5.719853760E-03, 3.021200940E-03, 1.899920090E-02, 9.997297020E+06
        26, 5.681899601E-03, 3.092969615E-03, 1.899920090E-02, 9.997314420E+06
        27, 5.642218841E-03, 3.163798269E-03, 1.899920090E-02, 9.997327966E+06
        28, 5.602538081E-03, 3.234626923E-03, 1.899920090E-02, 9.997334114E+06
        29, 5.561312931E-03, 3.303945270E-03, 1.899920090E-02, 9.997330777E+06
        30, 5.520087780E-03, 3.373263618E-03, 1.899920090E-02, 9.997319211E+06
        31, 5.477220540E-03, 3.441578669E-03, 1.899920090E-02, 9.997302144E+06
        32, 5.434216488E-03, 3.509807679E-03, 1.899920090E-02, 9.997283826E+06
        33, 5.389731564E-03, 3.577080541E-03, 1.899920090E-02, 9.997268149E+06
        34, 5.344976795E-03, 3.644174184E-03, 1.899920090E-02, 9.997258466E+06
        35, 5.298899762E-03, 3.710366731E-03, 1.899920090E-02, 9.997258764E+06
        36, 5.197404925E-03, 3.851259731E-03, 1.899920090E-02, 9.997278663E+06
